t,manoeuvre,distance,aspect angle,pitch,ideal pitch,roll,heading,ideal heading,angle of attack,sideslip angle,yoke pitch ratio,yoke roll ratio,throttle ratio,kias,stall warning,has crashed,Δt,pitch dev,heading dev,d rate,in front of or behind enemy plane,pitch dev grade,heading dev grade
0.0,before enemy aircraft starts manoeuvre,376.46144091372616 metres,2.72,3.33,-0.59,-0.13,42.83,43.87,3.05,-0.07,0.0,0.0,0.5,83.29,0,0,0.12,3.91,-1.04,1.25,behind,might lose sight of enemy,good
0.11,before enemy aircraft starts manoeuvre,376.6151092640256 metres,2.64,3.35,-0.64,-0.14,42.82,43.87,3.06,-0.07,0.0,0.0,0.5,83.61,0,0,0.11,4.0,-1.05,1.34,behind,might lose sight of enemy,good
0.22,before enemy aircraft starts manoeuvre,376.7714155107485 metres,2.56,3.38,-0.69,-0.14,42.82,43.87,3.06,-0.07,0.0,0.0,0.5,83.85,0,0,0.11,4.07,-1.05,1.45,behind,might lose sight of enemy,good
0.33,before enemy aircraft starts manoeuvre,376.91506551695903 metres,2.49,3.4,-0.74,-0.15,42.81,43.87,3.06,-0.07,0.0,0.0,0.5,84.01,0,0,0.1,4.14,-1.06,1.37,behind,might lose sight of enemy,good
0.44,before enemy aircraft starts manoeuvre,377.0852855450552 metres,2.41,3.42,-0.79,-0.25,42.8,43.87,3.07,-0.07,0.0,0.0,0.5,84.16,0,0,0.11,4.21,-1.06,1.57,behind,might lose sight of enemy,good
0.55,before enemy aircraft starts manoeuvre,377.2517187807195 metres,2.34,3.44,-0.84,-0.52,42.79,43.87,3.09,-0.06,0.0,0.0,0.5,84.26,0,0,0.11,4.28,-1.08,1.48,behind,might lose sight of enemy,good
0.66,before enemy aircraft starts manoeuvre,377.4441926823916 metres,2.26,3.46,-0.89,-1.07,42.76,43.87,3.13,-0.04,0.0,0.0,0.5,84.33,0,0,0.11,4.35,-1.1,1.78,behind,might lose sight of enemy,good
0.77,before enemy aircraft starts manoeuvre,377.6462652883169 metres,2.19,3.47,-0.95,-1.79,42.72,43.87,3.17,-0.02,0.0,0.0,0.5,84.38,0,0,0.12,4.42,-1.15,1.71,behind,might lose sight of enemy,good
0.88,before enemy aircraft starts manoeuvre,377.8309019449456 metres,2.12,3.48,-0.99,-2.64,42.66,43.87,3.2,0.01,0.0,0.0,0.5,84.4,0,0,0.11,4.47,-1.21,1.75,behind,might lose sight of enemy,good
0.98,before enemy aircraft starts manoeuvre,378.0307866543333 metres,2.06,3.48,-1.04,-3.78,42.56,43.87,3.25,0.04,0.0,0.0,0.5,84.4,0,0,0.1,4.52,-1.3,1.94,behind,might lose sight of enemy,good
1.09,before enemy aircraft starts manoeuvre,378.2201798121065 metres,2.0,3.46,-1.08,-5.06,42.44,43.87,3.29,0.06,0.0,0.0,0.5,84.38,0,0,0.1,4.54,-1.42,1.81,behind,might lose sight of enemy,good
1.19,before enemy aircraft starts manoeuvre,378.4192912672349 metres,1.95,3.43,-1.12,-6.57,42.28,43.87,3.34,0.09,0.0,0.0,0.5,84.36,0,0,0.1,4.55,-1.59,1.92,behind,might lose sight of enemy,good
1.29,before enemy aircraft starts manoeuvre,378.6263549848334 metres,1.9,3.38,-1.16,-8.3,42.07,43.87,3.37,0.12,0.0,0.0,0.5,84.32,0,0,0.1,4.54,-1.79,2.01,behind,might lose sight of enemy,good
1.41,before enemy aircraft starts manoeuvre,378.8472566317543 metres,1.85,3.29,-1.2,-10.28,41.81,43.87,3.41,0.14,0.0,0.0,0.5,84.27,0,0,0.11,4.49,-2.06,1.99,behind,might lose sight of enemy,good
1.51,before enemy aircraft starts manoeuvre,379.0759602488377 metres,1.81,3.17,-1.24,-12.45,41.5,43.88,3.43,0.16,0.0,0.0,0.5,84.22,0,0,0.11,4.4,-2.38,2.14,behind,might lose sight of enemy,good
1.62,before enemy aircraft starts manoeuvre,379.2990285312976 metres,1.78,3.0,-1.27,-14.64,41.16,43.89,3.43,0.18,0.0,0.0,0.5,84.16,0,0,0.1,4.27,-2.73,2.14,behind,might lose sight of enemy,good
1.72,before enemy aircraft starts manoeuvre,379.5320341851356 metres,1.75,2.78,-1.3,-17.06,40.77,43.9,3.41,0.19,0.0,0.0,0.5,84.09,0,0,0.1,4.08,-3.13,2.32,behind,might lose sight of enemy,good
1.83,before enemy aircraft starts manoeuvre,379.7942483726219 metres,1.73,2.47,-1.33,-19.95,40.29,43.92,3.38,0.2,0.0,0.0,0.5,84.02,0,0,0.11,3.8,-3.63,2.29,behind,might lose sight of enemy,good
1.94,before enemy aircraft starts manoeuvre,380.04840523644856 metres,1.73,2.09,-1.35,-22.82,39.81,43.94,3.31,0.21,0.0,0.0,0.5,83.94,0,0,0.11,3.44,-4.13,2.28,behind,might lose sight of enemy,good
2.05,before enemy aircraft starts manoeuvre,380.3100704051094 metres,1.73,1.62,-1.37,-25.79,39.31,43.97,3.22,0.22,0.0,0.0,0.5,83.87,0,0,0.11,2.99,-4.66,2.48,behind,good,good
2.16,before enemy aircraft starts manoeuvre,380.57005775795136 metres,1.75,1.11,-1.38,-28.7,38.79,44.0,3.13,0.22,0.0,0.0,0.5,83.8,0,0,0.11,2.5,-5.22,2.38,behind,good,ok
2.26,before enemy aircraft starts manoeuvre,380.84069793082205 metres,1.77,0.65,-1.39,-31.69,38.31,44.04,0.89,-1.0,0.0,0.0,0.5,83.73,0,0,0.11,2.04,-5.73,2.57,behind,good,ok
2.38,before enemy aircraft starts manoeuvre,381.12285261422767 metres,1.82,0.36,-1.39,-34.65,38.0,44.09,0.09,-1.17,0.0,0.0,0.5,83.68,0,0,0.12,1.75,-6.09,2.42,behind,good,ok
2.48,before enemy aircraft starts manoeuvre,381.38235041699926 metres,1.87,0.26,-1.38,-37.09,37.82,44.14,-0.3,-1.0,0.0,0.0,0.5,83.64,0,0,0.1,1.63,-6.32,2.5,behind,good,ok
2.59,before enemy aircraft starts manoeuvre,381.64280940670227 metres,1.93,0.27,-1.36,-39.12,37.65,44.19,-0.44,-0.64,0.0,0.0,0.5,83.61,0,0,0.1,1.63,-6.54,2.48,behind,good,ok
2.7,before enemy aircraft starts manoeuvre,381.93914198837933 metres,2.01,0.4,-1.34,-40.81,37.34,44.26,-0.34,-0.15,0.0,0.0,0.5,83.59,0,0,0.11,1.73,-6.92,2.65,behind,good,ok
2.82,before enemy aircraft starts manoeuvre,382.18472243233185 metres,2.08,0.54,-1.31,-41.75,36.95,44.32,-0.1,0.18,0.0,0.0,0.5,83.57,0,0,0.12,1.85,-7.37,2.12,behind,good,ok
2.93,before enemy aircraft starts manoeuvre,382.5884995182537 metres,2.22,0.77,-1.26,-42.16,36.02,44.43,0.64,0.66,0.0,0.0,0.5,83.56,0,0,0.12,2.02,-8.41,3.47,behind,good,ok
3.05,before enemy aircraft starts manoeuvre,382.93935059701397 metres,2.35,0.88,-1.2,-41.2,35.01,44.53,1.53,0.92,0.0,0.0,0.5,83.55,0,0,0.12,2.08,-9.52,2.89,behind,good,ok
3.17,before enemy aircraft starts manoeuvre,383.30607581059775 metres,2.5,0.87,-1.14,-38.84,33.86,44.65,2.57,1.01,0.0,0.0,0.5,83.53,0,0,0.12,2.01,-10.78,3.14,behind,good,ok
3.28,before enemy aircraft starts manoeuvre,383.64005700339163 metres,2.64,0.77,-1.08,-35.62,32.84,44.76,3.54,0.94,0.0,0.0,0.5,83.51,0,0,0.11,1.85,-11.92,3.13,behind,good,ok
3.38,before enemy aircraft starts manoeuvre,383.95945494803783 metres,2.79,0.61,-1.03,-31.9,31.94,44.87,4.46,0.75,0.0,0.0,0.5,83.49,0,0,0.1,1.64,-12.93,3.12,behind,good,ok
3.48,before enemy aircraft starts manoeuvre,384.30926126230116 metres,2.94,0.36,-0.97,-27.36,31.1,45.0,5.39,0.45,0.0,0.0,0.5,83.44,0,0,0.1,1.34,-13.89,3.37,behind,good,ok
3.59,before enemy aircraft starts manoeuvre,384.6664060290318 metres,3.11,0.06,-0.92,-22.46,30.42,45.13,6.26,0.11,0.0,0.0,0.5,83.39,0,0,0.1,0.98,-14.71,3.41,behind,good,ok
3.69,before enemy aircraft starts manoeuvre,385.0311963473244 metres,3.29,-0.31,-0.87,-17.4,29.91,45.27,6.89,-0.27,0.0,0.0,0.5,83.32,0,0,0.1,0.56,-15.37,3.51,behind,good,ok
3.81,before enemy aircraft starts manoeuvre,385.4653131209358 metres,3.5,-0.86,-0.82,-11.61,29.54,45.45,7.43,-0.76,0.0,0.0,0.5,83.23,0,0,0.12,-0.05,-15.9,3.55,behind,good,ok
3.93,before enemy aircraft starts manoeuvre,385.8821605696033 metres,3.71,-1.54,-0.78,-6.72,29.42,45.62,7.24,-1.1,0.0,0.0,0.5,83.15,0,0,0.11,-0.76,-16.2,3.72,behind,good,ok
4.04,before enemy aircraft starts manoeuvre,386.2837566955703 metres,3.92,-2.34,-0.74,-3.62,29.45,45.79,6.6,-1.16,0.0,0.0,0.5,83.08,0,0,0.11,-1.6,-16.34,3.67,behind,good,ok
4.15,before enemy aircraft starts manoeuvre,386.6739209493084 metres,4.12,-3.24,-0.71,-2.77,29.53,45.96,5.53,-0.93,0.0,0.0,0.5,83.05,0,0,0.11,-2.53,-16.43,3.41,behind,good,ok
4.26,before enemy aircraft starts manoeuvre,387.0590993264418 metres,4.34,-4.22,-0.68,-4.02,29.58,46.13,3.73,-0.59,0.0,0.0,0.5,83.07,0,0,0.11,-3.54,-16.55,3.53,behind,might lose sight of enemy,ok
4.38,enemy aircraft turning right,387.4518603352622 metres,4.57,-5.28,-0.65,-6.89,29.58,46.31,-1.29,-0.49,0.0,0.0,0.5,83.14,0,0,0.12,-4.63,-16.73,3.35,behind,might lose sight of enemy,ok
4.48,enemy aircraft turning right,387.7956526596466 metres,4.76,-6.04,-0.61,-10.1,29.6,46.47,-1.63,-0.5,0.0,0.0,0.5,83.23,0,0,0.11,-5.43,-16.87,3.21,behind,might lose sight of enemy,ok
4.59,enemy aircraft turning right,388.1511470095721 metres,4.92,-6.45,-0.57,-13.27,29.61,46.63,-1.47,-0.42,0.0,0.0,0.5,83.34,0,0,0.11,-5.88,-17.02,3.32,behind,might lose sight of enemy,ok
4.69,enemy aircraft turning right,388.517895604463 metres,5.04,-6.37,-0.51,-15.58,29.54,46.81,-0.77,-0.22,0.0,0.0,0.5,83.48,0,0,0.1,-5.86,-17.27,3.59,behind,might lose sight of enemy,ok
4.8,enemy aircraft turning right,388.86847074196976 metres,5.14,-5.94,-0.44,-16.67,29.34,46.97,0.16,-0.0,0.0,0.0,0.5,83.61,0,0,0.1,-5.5,-17.63,3.35,behind,might lose sight of enemy,ok
4.92,enemy aircraft turning right,389.2574313580137 metres,5.24,-5.26,-0.35,-17.01,28.97,47.16,1.24,0.19,0.0,0.0,0.5,83.78,0,0,0.12,-4.91,-18.19,3.2,behind,might lose sight of enemy,ok
5.04,enemy aircraft turning right,389.65389531484135 metres,5.34,-4.53,-0.25,-17.07,28.48,47.36,2.21,0.3,0.0,0.0,0.5,83.95,0,0,0.12,-4.28,-18.88,3.37,behind,might lose sight of enemy,ok
5.15,enemy aircraft turning right,390.03964190033645 metres,5.45,-3.9,-0.13,-17.05,27.94,47.57,2.93,0.32,0.0,0.0,0.5,84.11,0,0,0.11,-3.77,-19.63,3.46,behind,might lose sight of enemy,ok
5.27,enemy aircraft turning right,390.40765084544944 metres,5.56,-3.47,-0.02,-17.04,27.41,47.77,3.36,0.28,0.0,0.0,0.5,84.26,0,0,0.12,-3.45,-20.36,3.1,behind,might lose sight of enemy,might lose sight of enemy
5.39,enemy aircraft turning right,390.8029932908538 metres,5.67,-3.2,0.12,-17.06,26.86,48.0,3.57,0.2,0.0,0.0,0.5,84.41,0,0,0.12,-3.32,-21.14,3.3,behind,might lose sight of enemy,might lose sight of enemy
5.51,enemy aircraft turning right,391.1886637835889 metres,5.78,-3.11,0.26,-17.1,26.36,48.23,3.58,0.12,0.0,0.0,0.5,84.56,0,0,0.12,-3.36,-21.87,3.21,behind,might lose sight of enemy,might lose sight of enemy
5.61,enemy aircraft turning right,391.5585568373824 metres,5.86,-3.14,0.39,-17.15,25.92,48.46,3.47,0.05,0.0,0.0,0.5,84.69,0,0,0.11,-3.53,-22.54,3.46,behind,might lose sight of enemy,might lose sight of enemy
5.73,enemy aircraft turning right,391.93420498187385 metres,5.92,-3.24,0.53,-17.21,25.52,48.71,3.31,-0.0,0.0,0.0,0.5,84.82,0,0,0.12,-3.77,-23.19,3.16,behind,might lose sight of enemy,might lose sight of enemy
5.85,enemy aircraft turning right,392.33353731867373 metres,5.96,-3.37,0.69,-17.27,25.13,48.98,3.14,-0.03,0.0,0.0,0.5,84.95,0,0,0.12,-4.06,-23.85,3.32,behind,might lose sight of enemy,might lose sight of enemy
5.97,enemy aircraft turning right,392.7302613442576 metres,5.97,-3.5,0.85,-17.33,24.76,49.25,2.99,-0.04,0.0,0.0,0.5,85.08,0,0,0.12,-4.35,-24.5,3.31,behind,might lose sight of enemy,might lose sight of enemy
6.08,enemy aircraft turning right,393.1284042834767 metres,5.95,-3.61,1.01,-17.39,24.4,49.54,2.88,-0.04,0.0,0.0,0.5,85.22,0,0,0.11,-4.62,-25.14,3.58,behind,might lose sight of enemy,might lose sight of enemy
6.2,enemy aircraft turning right,393.5070488382562 metres,5.91,-3.68,1.16,-17.43,24.07,49.82,2.82,-0.02,0.0,0.0,0.5,85.34,0,0,0.11,-4.84,-25.75,3.36,behind,might lose sight of enemy,might lose sight of enemy
6.3,enemy aircraft turning right,393.85949892340807 metres,5.84,-3.72,1.31,-17.47,23.77,50.09,2.79,-0.0,0.0,0.0,0.5,85.45,0,0,0.1,-5.03,-26.32,3.4,behind,might lose sight of enemy,might lose sight of enemy
6.41,enemy aircraft turning right,394.2729245954336 metres,5.74,-3.74,1.48,-17.51,23.41,50.41,2.78,0.02,0.0,0.0,0.5,85.59,0,0,0.11,-5.22,-27.0,3.62,behind,might lose sight of enemy,might lose sight of enemy
6.53,enemy aircraft turning right,394.65043843532277 metres,5.62,-3.74,1.64,-17.54,23.08,50.71,2.79,0.03,0.0,0.0,0.5,85.7,0,0,0.11,-5.38,-27.63,3.41,behind,might lose sight of enemy,might lose sight of enemy
6.64,enemy aircraft turning right,394.98536757764924 metres,5.5,-3.73,1.78,-17.57,22.78,50.98,2.81,0.04,0.0,0.0,0.5,85.81,0,0,0.11,-5.51,-28.2,2.94,behind,might lose sight of enemy,might lose sight of enemy
6.75,enemy aircraft turning right,395.50413169822224 metres,5.28,-3.7,2.0,-17.61,22.33,51.4,2.83,0.05,0.0,0.0,0.5,85.96,0,0,0.11,-5.7,-29.07,4.86,behind,might lose sight of enemy,might lose sight of enemy
6.85,enemy aircraft turning right,395.897499639523 metres,5.1,-3.68,2.16,-17.64,21.99,51.73,2.85,0.05,0.0,0.0,0.5,86.07,0,0,0.1,-5.84,-29.74,3.83,behind,might lose sight of enemy,might lose sight of enemy
6.96,enemy aircraft turning right,396.35774414438237 metres,4.86,-3.66,2.34,-17.68,21.6,52.11,2.87,0.05,0.0,0.0,0.5,86.19,0,0,0.11,-6.0,-30.51,4.06,behind,might lose sight of enemy,lost sight of enemy
7.08,enemy aircraft turning right,396.84326642615633 metres,4.59,-3.64,2.52,-17.71,21.2,52.51,2.87,0.05,0.0,0.0,0.5,86.32,0,0,0.12,-6.16,-31.31,4.19,behind,might lose sight of enemy,lost sight of enemy
7.2,enemy aircraft turning right,397.356897909202 metres,4.29,-3.62,2.72,-17.75,20.8,52.94,2.87,0.04,0.0,0.0,0.5,86.45,0,0,0.12,-6.33,-32.14,4.37,behind,might lose sight of enemy,lost sight of enemy
7.31,enemy aircraft turning right,397.88441763427954 metres,3.98,-3.6,2.9,-17.79,20.4,53.38,2.87,0.04,0.0,0.0,0.5,86.57,0,0,0.12,-6.5,-32.98,4.53,behind,might lose sight of enemy,lost sight of enemy
7.42,enemy aircraft turning right,398.38432036420886 metres,3.7,-3.58,3.07,-17.82,20.04,53.79,2.87,0.04,0.0,0.0,0.5,86.68,0,0,0.11,-6.66,-33.75,4.66,behind,might lose sight of enemy,lost sight of enemy
7.54,enemy aircraft turning right,398.96185586857877 metres,3.39,-3.57,3.26,-17.86,19.65,54.26,2.86,0.04,0.0,0.0,0.5,86.8,0,0,0.12,-6.82,-34.62,4.86,behind,might lose sight of enemy,lost sight of enemy
7.65,enemy aircraft turning right,399.5505744775834 metres,3.11,-3.55,3.44,-17.9,19.26,54.74,2.85,0.04,0.0,0.0,0.5,86.92,0,0,0.11,-6.99,-35.48,5.35,behind,might lose sight of enemy,lost sight of enemy
7.77,enemy aircraft turning right,400.1844297336449 metres,2.84,-3.53,3.62,-17.94,18.87,55.24,2.84,0.04,0.0,0.0,0.5,87.04,0,0,0.12,-7.15,-36.37,5.35,behind,might lose sight of enemy,lost sight of enemy
7.88,enemy aircraft turning right,400.9073056800102 metres,2.57,-3.5,3.82,-17.98,18.45,55.8,2.84,0.04,0.0,0.0,0.5,87.17,0,0,0.12,-7.32,-37.36,6.14,behind,might lose sight of enemy,lost sight of enemy
8.0,enemy aircraft turning right,401.6099462618597 metres,2.36,-3.48,3.99,-18.02,18.05,56.34,2.83,0.04,0.0,0.0,0.5,87.28,0,0,0.12,-7.47,-38.28,6.07,behind,might lose sight of enemy,lost sight of enemy
8.11,enemy aircraft turning right,402.36098548860116 metres,2.19,-3.45,4.17,-18.06,17.66,56.89,2.83,0.04,0.0,0.0,0.5,87.4,0,0,0.12,-7.62,-39.24,6.53,behind,might lose sight of enemy,lost sight of enemy
8.23,enemy aircraft turning right,403.14653445841674 metres,2.08,-3.41,4.34,-18.1,17.26,57.46,2.82,0.04,0.0,0.0,0.5,87.51,0,0,0.12,-7.76,-40.2,6.82,behind,might lose sight of enemy,lost sight of enemy
8.35,enemy aircraft turning right,403.99752295261425 metres,2.04,-3.38,4.51,-18.14,16.85,58.05,2.82,0.04,0.0,0.0,0.5,87.63,0,0,0.12,-7.89,-41.2,7.26,behind,might lose sight of enemy,lost sight of enemy
8.45,enemy aircraft turning right,404.7492294664219 metres,2.06,-3.35,4.65,-18.17,16.51,58.57,2.82,0.05,0.0,0.0,0.5,87.73,0,0,0.1,-8.0,-42.05,7.49,behind,lost sight of enemy,lost sight of enemy
8.55,enemy aircraft turning right,405.58418204496746 metres,2.14,-3.32,4.8,-18.2,16.15,59.12,2.81,0.05,0.0,0.0,0.5,87.83,0,0,0.1,-8.12,-42.97,8.04,behind,lost sight of enemy,lost sight of enemy
8.66,enemy aircraft turning right,406.4516694675727 metres,2.28,-3.28,4.94,-18.24,15.79,59.68,2.81,0.05,0.0,0.0,0.5,87.93,0,0,0.1,-8.22,-43.89,8.33,behind,lost sight of enemy,lost sight of enemy
8.76,enemy aircraft turning right,407.37277325541413 metres,2.46,-3.24,5.08,-18.27,15.43,60.25,2.81,0.05,0.0,0.0,0.5,88.03,0,0,0.1,-8.32,-44.83,8.87,behind,lost sight of enemy,lost sight of enemy
8.88,enemy aircraft turning right,408.50642231428805 metres,2.71,-3.2,5.24,-18.32,15.0,60.94,2.81,0.05,0.0,0.0,0.5,88.14,0,0,0.12,-8.44,-45.94,9.46,behind,lost sight of enemy,lost sight of enemy
9.0,enemy aircraft turning right,409.6918843404795 metres,3.0,-3.15,5.39,-18.36,14.58,61.64,2.8,0.05,0.0,0.0,0.5,88.25,0,0,0.12,-8.54,-47.06,9.78,behind,lost sight of enemy,lost sight of enemy
9.11,enemy aircraft turning right,410.8118577708253 metres,3.27,-3.11,5.52,-18.39,14.2,62.27,2.8,0.05,0.0,0.0,0.5,88.35,0,0,0.11,-8.63,-48.07,10.25,behind,lost sight of enemy,lost sight of enemy
9.21,enemy aircraft turning right,411.94806541947395 metres,3.56,-3.07,5.64,-18.43,13.84,62.89,2.8,0.05,0.0,0.0,0.5,88.44,0,0,0.1,-8.71,-49.05,11.11,behind,lost sight of enemy,lost sight of enemy
9.32,enemy aircraft turning right,413.18990792673503 metres,3.86,-3.02,5.76,-18.47,13.46,63.55,2.8,0.05,0.0,0.0,0.5,88.54,0,0,0.11,-8.78,-50.09,11.51,behind,lost sight of enemy,lost sight of enemy
9.44,enemy aircraft turning right,414.68115851523964 metres,4.22,-2.97,5.89,-18.51,13.02,64.31,2.79,0.05,0.0,0.0,0.5,88.64,0,0,0.12,-8.86,-51.29,12.44,behind,lost sight of enemy,lost sight of enemy
9.54,enemy aircraft turning right,415.9832853546527 metres,4.52,-2.92,6.0,-18.55,12.66,64.95,2.79,0.05,0.0,0.0,0.5,88.73,0,0,0.1,-8.92,-52.29,12.65,behind,lost sight of enemy,lost sight of enemy
9.65,enemy aircraft turning right,417.39675485219055 metres,4.83,-2.87,6.1,-18.58,12.28,65.63,2.79,0.05,0.0,0.0,0.5,88.82,0,0,0.1,-8.98,-53.34,13.46,behind,lost sight of enemy,lost sight of enemy
9.75,enemy aircraft turning right,418.89992542288184 metres,5.15,-2.82,6.2,-18.62,11.9,66.32,2.79,0.05,0.0,0.0,0.5,88.91,0,0,0.1,-9.03,-54.42,14.67,behind,lost sight of enemy,lost sight of enemy
9.87,enemy aircraft turning right,420.6292639866099 metres,5.5,-2.77,6.3,-18.67,11.49,67.09,2.78,0.05,0.0,0.0,0.5,89.0,0,0,0.12,-9.07,-55.61,14.48,behind,lost sight of enemy,lost sight of enemy
9.98,enemy aircraft turning right,422.41338780248805 metres,5.85,-2.71,6.4,-18.71,11.07,67.86,2.78,0.05,0.0,0.0,0.5,89.09,0,0,0.11,-9.11,-56.79,15.6,behind,lost sight of enemy,lost sight of enemy
10.1,enemy aircraft turning right,424.2927510354508 metres,6.2,-2.65,6.49,-18.75,10.66,68.64,2.78,0.05,0.0,0.0,0.5,89.18,0,0,0.11,-9.14,-57.98,16.37,behind,lost sight of enemy,lost sight of enemy
10.21,enemy aircraft turning right,426.26939419036415 metres,6.55,-2.59,6.57,-18.79,10.24,69.42,2.78,0.05,0.0,0.0,0.5,89.27,0,0,0.11,-9.16,-59.18,17.19,behind,lost sight of enemy,lost sight of enemy
10.33,enemy aircraft turning right,428.3865005011106 metres,6.91,-2.53,6.64,-18.84,9.82,70.24,2.77,0.05,0.0,0.0,0.5,89.36,0,0,0.12,-9.18,-60.42,17.78,behind,lost sight of enemy,lost sight of enemy
10.45,enemy aircraft turning right,430.63181726482316 metres,7.27,-2.47,6.71,-18.88,9.39,71.06,2.77,0.05,0.0,0.0,0.5,89.45,0,0,0.12,-9.18,-61.68,18.95,behind,lost sight of enemy,lost sight of enemy
10.55,enemy aircraft turning right,432.65054906089637 metres,7.58,-2.42,6.77,-18.92,9.02,71.78,2.77,0.05,0.0,0.0,0.5,89.52,0,0,0.1,-9.18,-62.77,19.67,behind,lost sight of enemy,lost sight of enemy
10.66,enemy aircraft turning right,434.7893346037812 metres,7.9,-2.36,6.82,-18.96,8.64,72.52,2.77,0.06,0.0,0.0,0.5,89.59,0,0,0.1,-9.17,-63.88,20.62,behind,lost sight of enemy,lost sight of enemy
10.76,enemy aircraft turning right,437.0200269182071 metres,8.21,-2.3,6.86,-19.0,8.26,73.26,2.77,0.06,0.0,0.0,0.5,89.66,0,0,0.1,-9.16,-65.0,21.78,behind,lost sight of enemy,lost sight of enemy
10.88,enemy aircraft turning right,439.6796059246897 metres,8.58,-2.23,6.9,-19.05,7.82,74.12,2.76,0.06,0.0,0.0,0.5,89.74,0,0,0.12,-9.14,-66.29,22.2,behind,lost sight of enemy,lost sight of enemy
10.98,enemy aircraft turning right,442.0368475273133 metres,8.89,-2.18,6.93,-19.09,7.45,74.85,2.76,0.06,0.0,0.0,0.5,89.8,0,0,0.1,-9.11,-67.4,23.38,behind,lost sight of enemy,lost sight of enemy
11.09,enemy aircraft turning right,444.5569345071766 metres,9.21,-2.12,6.96,-19.13,7.07,75.6,2.76,0.06,0.0,0.0,0.5,89.87,0,0,0.11,-9.08,-68.54,23.76,behind,lost sight of enemy,lost sight of enemy
11.19,enemy aircraft turning right,447.2562699395194 metres,9.54,-2.05,6.98,-19.17,6.67,76.39,2.76,0.06,0.0,0.0,0.5,89.93,0,0,0.11,-9.03,-69.72,25.5,behind,lost sight of enemy,lost sight of enemy
11.3,enemy aircraft turning right,449.9117033170693 metres,9.85,-1.99,6.99,-19.22,6.29,77.13,2.76,0.06,0.0,0.0,0.5,89.99,0,0,0.11,-8.99,-70.84,25.07,behind,lost sight of enemy,lost sight of enemy
11.4,enemy aircraft turning right,452.8590967027799 metres,10.19,-1.93,7.0,-19.26,5.89,77.93,2.76,0.06,0.0,0.0,0.5,90.06,0,0,0.11,-8.93,-72.04,27.75,behind,lost sight of enemy,lost sight of enemy
11.51,enemy aircraft turning right,455.69409495098967 metres,10.5,-1.87,7.0,-19.3,5.51,78.67,2.76,0.06,0.0,0.0,0.5,90.11,0,0,0.1,-8.87,-73.16,28.13,behind,lost sight of enemy,lost sight of enemy
11.61,enemy aircraft turning right,458.63495337259354 metres,10.82,-1.81,7.0,-19.35,5.13,79.42,2.76,0.06,0.0,0.0,0.5,90.17,0,0,0.1,-8.81,-74.29,28.78,behind,lost sight of enemy,lost sight of enemy
11.71,enemy aircraft turning right,461.7011774409749 metres,11.14,-1.75,6.99,-19.39,4.75,80.17,2.75,0.06,0.0,0.0,0.5,90.22,0,0,0.1,-8.74,-75.42,29.96,behind,lost sight of enemy,lost sight of enemy
11.81,enemy aircraft turning right,464.86313661166156 metres,11.46,-1.69,6.98,-19.43,4.37,80.92,2.75,0.06,0.0,0.0,0.5,90.27,0,0,0.1,-8.66,-76.56,30.88,behind,lost sight of enemy,lost sight of enemy
11.91,enemy aircraft turning right,468.0490971950268 metres,11.78,-1.62,6.96,-19.48,3.99,81.66,2.75,0.06,0.0,0.0,0.5,90.32,0,0,0.1,-8.58,-77.67,31.38,behind,lost sight of enemy,lost sight of enemy
12.03,enemy aircraft turning right,471.8127784804436 metres,12.14,-1.56,6.93,-19.53,3.56,82.5,2.75,0.06,0.0,0.0,0.5,90.37,0,0,0.11,-8.49,-78.94,33.79,behind,lost sight of enemy,lost sight of enemy
12.14,enemy aircraft turning right,475.7329740571 metres,12.51,-1.49,6.9,-19.58,3.13,83.34,2.75,0.06,0.0,0.0,0.5,90.42,0,0,0.12,-8.38,-80.21,34.02,behind,lost sight of enemy,lost sight of enemy
12.25,enemy aircraft turning right,479.73601720765305 metres,12.87,-1.42,6.86,-19.63,2.7,84.17,2.75,0.06,0.0,0.0,0.5,90.47,0,0,0.11,-8.27,-81.48,35.14,behind,lost sight of enemy,lost sight of enemy
12.37,enemy aircraft turning right,483.9786078533165 metres,13.24,-1.34,6.81,-19.68,2.26,85.02,2.75,0.06,0.0,0.0,0.5,90.51,0,0,0.12,-8.15,-82.77,36.01,behind,lost sight of enemy,lost sight of enemy
12.49,enemy aircraft turning right,488.46634656002954 metres,13.62,-1.27,6.75,-19.74,1.8,85.89,2.75,0.06,0.0,0.0,0.5,90.56,0,0,0.12,-8.02,-84.09,37.44,behind,lost sight of enemy,lost sight of enemy
12.59,enemy aircraft turning right,492.37001843699693 metres,13.94,-1.21,6.7,-19.79,1.42,86.62,2.75,0.06,0.0,0.0,0.5,90.59,0,0,0.1,-7.91,-85.2,38.95,behind,might lose sight of enemy,lost sight of enemy
12.69,enemy aircraft turning right,496.3777070788075 metres,14.26,-1.15,6.64,-19.83,1.03,87.35,2.75,0.06,0.0,0.0,0.5,90.63,0,0,0.1,-7.79,-86.32,39.19,behind,might lose sight of enemy,lost sight of enemy
12.81,enemy aircraft turning right,501.3338962068918 metres,14.65,-1.07,6.57,-19.89,0.57,88.22,2.75,0.06,0.0,0.0,0.5,90.66,0,0,0.12,-7.64,-87.65,41.31,behind,might lose sight of enemy,lost sight of enemy
